education,income,recency,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,num_deals_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,complain,response,age,family_size,total_spending,days_as_customer,offers_responded_to,parental_status,cluster
4,61905.0,2,167,0,43,6,2,13,2,4,2,4,5,0,0,49,3,231,3942,0,1,1
2,29315.0,55,13,2,14,8,7,4,4,2,0,4,6,0,0,64,4,48,3881,0,1,1
2,33378.0,38,33,6,40,3,7,10,3,2,0,4,7,0,0,61,3,99,4305,0,1,1
4,66313.0,86,625,7,99,10,22,7,2,6,3,12,4,0,0,61,3,770,4083,0,1,2
2,60714.0,56,216,162,224,101,92,162,2,7,4,10,5,0,1,68,1,957,4325,1,0,0
3,77882.0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,43,2,818,3857,0,0,0
4,69867.0,30,196,0,512,33,130,54,1,3,5,8,1,0,1,38,1,925,4250,2,0,0
3,63841.0,64,635,15,100,20,7,131,1,9,3,9,6,0,0,56,2,908,4231,0,1,2
0,24480.0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,43,3,102,4300,0,1,1
2,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,48,3,576,4409,0,1,2
2,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,78,2,317,4464,0,0,2
4,65640.0,74,204,7,149,20,15,66,1,5,1,8,2,0,0,50,3,461,3917,0,1,2
3,44319.0,18,26,0,8,0,0,3,2,2,0,3,5,0,0,49,4,37,3870,0,1,1
2,30631.0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,50,3,70,4149,0,1,1
2,75278.0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,72,2,930,4313,0,0,0
3,50898.0,88,285,28,242,55,114,135,13,6,2,12,5,0,0,68,4,859,4334,0,1,2
2,79946.0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,58,1,1478,3845,0,0,0
3,35416.0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,75,1,390,4178,0,0,2
1,32414.0,11,20,6,5,0,9,12,1,1,0,3,7,0,0,40,2,52,4157,1,0,1
2,38361.0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,55,3,137,3981,0,1,1
2,82497.0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,44,2,1919,4403,1,0,0
2,16626.0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,53,4,68,3962,0,1,1
2,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,59,4,25,4271,0,1,1
3,55951.0,62,1241,0,80,0,13,40,3,3,6,11,8,0,0,72,3,1374,4472,2,1,2
1,35388.0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,36,2,32,4276,0,1,1
3,42386.0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,38,3,100,4329,0,1,1
2,68627.0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,42,1,825,4330,0,0,0
4,57912.0,34,801,0,80,0,0,35,5,8,3,12,5,0,0,59,2,916,3901,1,1,2
2,35246.0,53,36,0,12,2,2,10,4,3,1,3,5,0,0,66,3,62,3871,0,1,1
1,58821.0,44,513,14,154,19,0,28,1,9,2,9,6,0,0,68,3,728,4057,0,1,2
4,46377.0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,46,3,90,3917,0,1,1
2,39747.0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,36,2,273,3874,0,1,1
2,23976.0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,40,3,66,3981,0,1,1
3,80950.0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,63,2,1213,4255,1,0,0
2,27038.0,64,1,26,25,17,23,15,1,3,0,3,9,0,1,58,1,107,4446,1,0,1
2,77457.0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,77,1,1157,3913,1,0,0
3,64100.0,93,509,0,27,0,0,10,1,8,3,6,7,0,0,60,3,546,4089,1,1,2
3,42670.0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,32,2,241,4225,0,0,1
2,12571.0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,48,2,53,3959,0,1,1
2,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,57,5,37,4041,0,1,1
2,51381.5,69,861,138,461,60,30,61,1,6,5,12,3,0,0,35,2,1611,4188,2,0,0
3,70893.0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,48,1,1508,4305,0,0,0
2,54198.0,13,185,0,28,3,2,17,6,3,1,6,4,0,0,58,4,235,3991,0,1,1
3,28839.0,86,24,0,7,0,0,1,2,2,0,3,5,0,0,68,4,32,3907,0,1,1
2,40321.0,59,44,4,21,6,0,27,2,3,0,3,7,0,0,52,4,102,4132,0,1,1
2,66503.0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,39,2,401,4481,0,1,2
2,30833.0,33,11,0,7,3,1,6,2,1,0,3,5,0,0,73,4,28,4145,0,1,1
2,51381.5,67,738,20,172,52,50,20,6,2,3,10,7,0,0,54,4,1052,4107,2,1,2
2,64795.0,23,412,5,119,38,29,77,3,3,3,12,2,0,0,53,3,680,4325,0,1,2
2,34421.0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,50,3,30,4160,0,1,1
4,47025.0,6,16,0,3,0,0,1,1,1,0,2,7,0,0,59,3,20,3937,0,1,1
4,64325.0,41,731,60,353,78,12,73,5,10,3,5,7,0,0,63,2,1307,4304,0,1,2
2,40464.0,78,424,17,118,7,23,41,6,8,2,8,8,0,0,71,2,630,4331,0,1,2
2,62187.0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,67,2,1283,4156,0,0,0
4,14849.0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,48,2,65,4159,0,1,1
2,27255.0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,40,3,37,4031,0,1,1
4,54432.0,37,33,0,5,0,0,0,1,1,0,3,4,0,0,74,5,38,4213,0,1,1
4,29999.0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,38,2,160,4298,0,1,1
2,24072.0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,41,2,23,4236,0,1,1
4,33996.0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,35,1,71,4088,0,0,1
4,66334.0,82,909,11,218,0,0,23,2,9,3,5,5,0,1,68,3,1161,4249,1,1,2
3,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,0,1,53,3,59,4332,2,1,1
2,22010.0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,41,3,33,4161,0,1,1
2,62204.0,38,317,46,247,151,46,139,1,4,5,12,3,0,0,64,3,946,4452,0,1,0
2,75693.0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,56,1,1442,4367,4,0,0
2,30675.0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,52,3,62,4391,0,1,1
2,83003.0,18,856,61,570,40,25,122,1,7,6,8,3,0,1,59,2,1674,4280,2,0,0
4,83532.0,36,755,144,562,104,64,224,1,4,6,4,1,0,0,125,2,1853,4073,1,0,0
2,68655.0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,36,1,1538,4485,0,0,0
2,41411.0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,38,1,139,4001,0,0,1
4,55212.0,65,1103,0,45,0,0,34,3,4,2,11,8,0,0,55,3,1182,4380,2,1,2
4,59292.0,71,378,14,68,19,14,14,2,3,5,8,3,0,0,74,3,507,4178,0,1,2
0,27190.0,13,1,6,7,0,1,3,1,1,0,2,8,0,1,51,3,18,4115,2,1,1
2,82623.0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,72,1,940,4028,0,0,0
2,44300.0,65,30,0,9,0,0,3,2,1,0,3,6,0,0,59,4,42,4168,0,1,1
2,84835.0,0,189,104,379,111,189,218,1,4,4,6,1,0,1,54,1,1190,3810,1,0,0
2,30372.0,33,15,0,12,7,3,7,3,2,0,3,7,0,0,53,3,44,4348,0,1,1
3,33181.0,90,9,0,3,0,0,4,1,1,0,2,6,0,0,48,3,16,3974,1,1,1
2,71113.0,95,495,33,255,11,33,8,4,6,7,9,4,0,0,67,3,835,3991,0,1,2
2,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,0,0,38,3,1443,4332,2,1,0
4,69759.0,38,452,20,514,13,30,0,3,4,6,5,3,0,1,58,1,1029,4041,1,0,0
2,72099.0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,50,2,1188,4407,0,0,0
4,60000.0,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,48,2,1277,4351,0,1,2
2,38643.0,45,22,2,14,0,1,10,2,2,0,3,7,1,0,46,3,49,4009,0,1,1
2,50737.0,61,78,0,11,0,0,10,1,2,0,4,6,0,0,69,3,99,4211,1,1,1
4,68462.0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,55,2,1670,4361,0,0,0
3,65073.0,65,629,17,177,69,0,8,1,5,3,5,2,1,0,81,2,900,4110,0,0,0
4,46681.0,52,269,15,69,15,19,38,2,4,6,4,5,0,0,76,4,425,4061,0,1,2
2,78618.0,87,736,163,818,212,163,61,1,4,7,10,2,0,0,67,2,2153,4436,1,0,0
4,62187.0,38,512,0,83,0,0,41,3,6,2,10,4,0,0,55,2,636,3896,0,1,2
2,28442.0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,46,4,57,3922,0,1,1
4,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,46,3,25,4380,0,1,1
2,51479.0,67,247,8,160,6,8,65,7,6,3,6,7,0,0,57,4,494,4345,0,1,2
2,54803.0,65,404,0,92,28,27,142,2,6,2,9,4,0,0,55,2,693,4474,0,1,2
2,79530.0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,64,2,1348,4205,0,0,0
2,31615.0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,48,2,51,4267,0,1,1
2,72025.0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,62,2,1932,4386,0,0,0
4,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,49,2,990,4372,0,1,2
1,35684.0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,40,3,30,3865,0,1,1
2,48178.0,69,159,4,45,6,2,38,6,5,1,4,8,0,0,49,4,254,4406,0,1,2
3,29548.0,52,7,1,6,3,1,11,1,1,1,2,4,0,0,54,2,29,4101,1,1,1
2,63810.0,45,977,12,253,16,12,101,4,4,3,12,8,0,0,58,2,1371,4392,1,1,2
4,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,1,52,3,73,4169,1,1,1
3,46098.0,86,57,0,27,0,0,36,4,3,2,2,8,0,0,49,3,120,4477,0,1,1
2,22585.0,23,3,9,15,13,2,39,1,1,1,2,9,0,1,54,1,81,4265,2,0,1
2,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,35,2,37,4343,0,1,1
4,66426.0,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,63,3,1377,4067,0,1,2
2,30822.0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,55,2,51,4177,0,1,1
4,33581.0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,55,4,17,4334,0,1,1
2,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,39,3,22,4024,0,1,1
2,27421.0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,70,1,324,4361,0,0,2
1,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,51,5,211,4473,0,1,2
3,36143.0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,43,2,19,3888,0,1,1
2,10245.0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,53,2,41,4207,0,1,1
3,43795.0,11,314,11,53,4,3,107,3,7,3,4,7,0,1,56,3,492,4053,2,1,2
2,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,64,3,1005,4429,0,1,2
2,38823.0,56,70,0,11,2,8,23,1,2,1,3,6,0,0,75,3,114,4465,0,1,1
4,83664.0,57,866,21,151,28,21,86,3,2,2,12,5,0,0,56,3,1173,4214,0,1,2
2,90300.0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,45,2,1738,3974,1,0,0
3,62499.0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,45,3,222,3999,0,1,1
2,74293.0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,31,1,1127,3853,0,0,0
4,51012.0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,78,2,209,4234,0,0,1
3,70777.0,80,554,35,113,0,7,78,3,5,3,12,3,0,0,56,3,787,3921,0,1,2
4,68682.0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,33,2,1598,4063,0,0,0
2,43824.0,18,96,1,42,12,3,32,4,3,1,4,8,0,0,53,4,186,4449,0,1,1
2,15345.0,51,5,2,16,3,2,19,2,1,1,2,8,0,1,40,3,47,4464,1,1,1
2,23442.0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,37,2,27,4349,0,1,1
1,14515.0,71,6,4,9,6,36,35,4,2,2,3,7,0,1,44,3,96,4394,1,1,1
1,31395.0,80,23,1,25,0,8,7,4,2,1,3,6,0,0,68,3,64,4260,0,1,1
2,75276.0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,59,2,1040,4437,0,0,0
2,42373.0,83,67,5,61,3,8,19,5,2,1,5,5,0,0,50,3,163,4115,0,1,1
2,30507.0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,64,2,343,4272,0,0,1
4,55521.0,11,416,0,26,0,0,4,9,6,3,6,7,0,1,69,4,446,4047,2,1,2
2,48006.0,55,23,0,11,3,2,2,1,1,0,3,6,0,0,59,4,41,3817,0,1,1
4,27213.0,19,19,3,26,10,9,3,3,2,0,4,8,0,1,52,2,70,4465,1,1,1
4,65808.0,1,155,7,80,13,7,10,3,5,1,5,6,0,0,53,3,272,3827,0,1,2
4,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,50,3,46,4185,0,1,1
2,50437.0,28,370,9,92,6,9,4,3,7,1,8,7,0,0,61,4,490,4417,0,1,2
1,23616.0,76,4,22,11,3,7,32,2,3,0,3,8,0,1,42,2,79,4386,1,1,1
2,53858.0,50,407,53,221,58,150,26,4,4,3,6,4,0,0,48,3,915,4394,0,1,2
4,66465.0,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,69,3,1485,4253,1,1,2
2,46923.0,90,85,44,54,102,78,6,3,5,1,7,7,0,0,37,2,369,4473,0,1,2
2,75072.0,83,583,34,309,0,22,125,2,5,4,8,3,0,0,62,3,1073,4319,0,1,2
4,75865.0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,81,2,1242,3887,0,0,0
1,19789.0,24,2,5,9,28,6,28,3,2,1,3,5,0,0,49,3,78,4018,1,1,1
2,80134.0,11,966,26,282,52,26,26,1,2,7,11,5,0,0,30,2,1378,3932,4,0,0
2,91065.0,33,822,114,108,179,137,114,1,7,9,9,3,0,1,43,1,1474,4289,3,0,0
3,49505.0,4,604,0,100,19,0,28,9,10,2,8,8,0,0,53,4,751,4278,0,1,2
4,37401.0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,51,3,48,3851,0,1,1
2,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,41,3,45,3835,0,1,1
3,18492.0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,42,3,10,3821,0,1,1
3,82584.0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,50,2,1435,4187,3,0,0
4,93027.0,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,83,2,2119,4239,1,0,0
2,48686.0,8,10,0,7,2,0,1,1,1,0,2,8,0,0,71,5,20,4004,0,1,1
2,92910.0,42,551,137,792,179,103,33,1,6,7,13,1,0,0,38,2,1795,3863,3,0,0
2,75433.0,28,800,0,297,0,34,57,2,2,5,10,6,0,0,35,3,1188,3882,2,1,2
1,10404.0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,35,3,43,3853,0,1,1
2,61314.0,1,378,0,189,97,172,172,2,5,5,12,3,0,0,56,3,1008,4227,0,1,0
4,84865.0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,63,1,1688,4213,5,0,0
2,42387.0,42,235,0,235,19,4,191,5,8,1,7,8,0,0,35,3,684,4405,0,1,2
1,67309.0,76,515,47,181,149,95,95,15,9,6,9,7,0,0,57,4,1082,4319,0,1,2
2,75236.0,27,438,66,400,12,38,114,1,8,3,13,4,0,0,60,3,1068,4013,0,1,2
2,30015.0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,54,2,57,3944,0,1,1
3,50943.0,49,31,0,7,2,0,6,1,1,0,3,5,0,0,68,3,46,4170,0,1,1
2,67272.0,12,357,35,271,28,28,14,3,6,2,12,5,0,0,58,2,733,3987,0,1,2
3,51529.0,14,400,4,35,6,0,22,2,9,1,5,8,0,0,75,2,467,4092,0,1,2
4,32011.0,89,99,0,15,2,1,5,3,2,1,4,7,0,0,53,3,122,4108,0,1,1
1,7500.0,96,1,11,5,4,6,9,2,2,0,3,8,0,0,38,3,36,4304,0,1,1
2,28691.0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,35,3,34,4157,0,1,1
4,56223.0,72,77,28,31,16,0,4,2,2,1,5,4,0,0,76,3,156,3988,0,1,1
2,18100.0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,78,2,14,4124,0,0,1
2,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,35,2,37,4343,0,1,1
1,20130.0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,50,2,34,3901,0,0,1
2,23295.0,72,0,0,1,2,12,5,1,1,0,2,8,0,0,65,1,20,4148,0,0,1
3,42618.0,92,76,14,74,13,5,10,2,5,0,4,8,0,0,52,2,192,4060,0,1,1
2,81246.0,87,398,190,537,61,156,37,1,4,5,7,1,0,0,60,1,1379,3979,2,0,0
2,24027.0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,48,3,48,4182,0,1,1
4,55707.0,91,208,7,82,30,66,35,2,3,2,9,3,0,0,71,3,428,3986,0,1,2
2,57959.0,71,430,16,322,43,24,33,5,4,7,11,3,0,0,69,2,868,4220,0,1,2
2,56796.0,24,656,38,161,62,47,37,3,8,9,7,7,0,0,55,3,1001,4295,0,1,2
3,36230.0,17,14,2,30,8,2,3,1,2,0,4,5,0,0,53,2,59,4052,0,1,1
1,70829.0,87,141,70,106,72,19,23,2,4,2,8,3,0,0,44,4,431,4007,0,1,2
2,65991.0,21,507,19,364,25,47,9,3,9,5,10,7,0,0,48,3,971,4457,0,1,2
2,38988.0,90,164,24,103,12,3,42,7,5,1,6,8,0,0,52,5,348,4475,0,1,2
1,89572.0,44,606,24,974,197,194,64,1,7,7,9,4,0,1,58,1,2059,4449,3,0,0
3,42207.0,71,116,11,72,3,17,46,4,4,1,5,6,0,1,40,3,265,4251,2,1,2
2,50300.0,52,143,15,60,24,23,5,2,2,1,8,2,0,0,72,3,270,3832,0,1,1
1,66664.0,78,398,96,447,220,96,32,1,5,7,6,3,0,0,42,2,1289,4439,0,0,0
2,60597.0,2,522,0,257,32,16,66,4,2,2,8,7,0,1,60,3,893,3976,2,1,2
2,70165.0,60,161,0,253,199,191,122,1,3,7,11,1,0,0,75,1,926,4077,0,0,0
4,50520.0,25,112,0,6,2,1,14,2,3,1,3,6,0,0,66,2,135,3949,0,1,1
2,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,0,0,61,2,1495,3800,1,0,0
2,33183.0,46,7,5,39,17,15,37,2,4,0,3,7,0,0,49,3,120,3922,0,1,1
4,66582.0,83,789,25,420,16,38,0,1,2,8,9,1,0,0,55,1,1288,3915,0,0,0
4,75261.0,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,69,2,1743,4229,3,0,0
2,31880.0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,54,2,15,4403,0,1,1
2,53790.0,86,335,42,127,28,5,5,3,7,2,8,6,0,0,73,4,542,3912,0,1,2
4,49269.0,92,639,8,166,11,8,58,3,7,3,12,7,0,0,53,3,890,4480,0,1,2
2,61456.0,47,563,76,384,84,192,89,4,6,10,13,4,0,0,49,3,1388,4256,0,1,0
2,37406.0,18,2,0,8,2,2,3,1,1,0,2,8,0,1,44,3,17,4059,1,1,1
4,56937.0,81,746,8,125,11,8,8,7,8,6,9,6,0,1,43,3,906,4491,2,1,2
2,38415.0,91,22,1,13,4,0,4,2,1,0,3,7,0,0,46,4,44,4340,0,1,1
2,20518.0,58,4,1,6,4,1,9,1,1,1,2,5,0,0,36,2,25,3839,0,1,1
2,62503.0,40,478,0,193,110,75,117,4,8,3,11,5,0,0,68,3,973,4293,0,1,2
4,41644.0,67,20,3,4,2,0,2,2,1,0,3,3,0,0,52,3,31,3848,0,1,1
3,55842.0,19,451,0,39,0,4,24,1,7,1,8,5,0,0,47,3,518,3834,0,1,2
4,62010.0,93,371,22,39,6,0,92,4,6,2,7,5,0,0,52,3,530,4411,0,1,2
2,41124.0,41,281,7,84,15,0,119,7,7,3,4,8,0,0,47,3,506,4403,0,1,2
3,38961.0,60,19,7,19,0,1,24,1,2,1,2,7,0,0,51,3,70,3978,0,1,1
3,37760.0,54,26,3,13,2,10,0,1,2,0,3,6,0,0,52,2,54,4119,0,1,1
2,32233.0,26,138,15,35,25,11,72,2,6,2,2,9,0,1,50,2,296,4476,2,1,2
2,43057.0,30,213,2,44,0,2,5,4,4,2,5,5,0,0,49,3,266,4039,0,1,1
3,83151.0,93,407,28,100,120,74,18,1,5,9,4,3,0,0,64,2,747,4424,0,0,0
4,78825.0,35,483,74,114,169,37,18,1,5,10,13,3,0,1,60,1,895,4450,1,0,0
3,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,48,3,1053,4024,0,1,2
2,60093.0,92,502,12,109,16,6,90,2,7,2,10,6,0,0,50,3,735,4165,0,1,2
2,14045.0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,55,3,20,3951,0,1,1
1,28457.0,96,24,1,108,29,29,14,1,4,1,4,8,0,0,72,1,205,4406,0,0,1
4,78952.0,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,66,3,2092,4440,0,1,0
2,46310.0,99,185,2,88,15,5,14,2,6,1,5,8,0,0,48,2,309,4370,0,1,2
2,76005.0,72,983,20,389,240,50,40,1,3,5,13,6,0,0,69,2,1722,4289,1,0,0
3,58308.0,77,691,0,69,10,0,130,4,2,6,3,8,0,0,60,2,900,4330,0,1,2
4,55614.0,85,504,13,131,8,0,26,1,9,4,6,7,0,0,80,1,682,4011,1,0,2
3,59432.0,88,317,25,265,25,19,12,3,5,3,11,5,0,0,62,2,663,4239,0,1,2
2,55563.0,22,29,1,9,2,0,2,1,2,0,3,3,0,0,46,2,43,3882,0,1,1
4,78642.0,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,53,3,1816,4231,0,1,2
4,67911.0,63,529,0,356,63,28,0,3,6,7,11,3,0,0,75,3,976,3835,0,1,2
2,65275.0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,80,2,746,4249,0,0,0
2,27203.0,92,13,2,21,4,0,24,2,1,1,2,8,0,0,74,4,64,4489,0,1,1
3,48330.0,2,28,0,4,0,0,0,1,1,0,3,5,0,0,63,3,32,4023,0,1,1
0,24279.0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,34,2,263,4344,0,0,1
4,64355.0,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,39,3,1445,4471,0,1,2
3,50943.0,49,31,0,7,2,0,6,1,1,0,3,5,0,0,68,3,46,4170,0,1,1
2,53653.0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,71,1,1210,4396,0,0,0
2,65665.0,77,225,162,387,106,36,29,1,5,10,8,3,0,0,48,3,945,4006,0,1,0
2,81217.0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,35,1,1157,4142,0,0,0
2,34935.0,71,34,4,66,3,10,20,1,2,1,4,7,0,0,32,2,137,4170,0,0,1
2,61250.0,49,382,138,65,60,26,59,6,5,2,12,5,0,0,65,2,730,4357,0,1,2
4,39665.0,97,127,1,56,0,1,31,3,4,2,3,7,0,0,43,3,216,4197,1,1,1
2,60152.0,6,325,83,300,86,58,91,1,6,4,12,3,0,0,45,2,943,4255,0,1,0
2,48920.0,93,238,17,68,8,10,6,3,6,2,5,7,0,0,60,4,347,4049,1,1,2
3,89120.0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,65,2,1924,3901,1,0,0
4,44124.0,62,284,0,55,0,6,52,4,6,2,5,8,0,0,78,3,397,4211,0,1,2
3,81169.0,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,49,1,2089,4238,0,0,0
2,36443.0,9,65,0,46,4,3,20,4,3,1,3,8,0,0,63,4,138,4308,0,1,1
2,26095.0,77,11,7,9,3,1,11,1,1,0,3,7,0,0,34,2,42,4161,0,1,1
2,71367.0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,65,2,777,4107,0,0,0
3,80184.0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,80,2,1902,3917,2,0,0
2,30630.0,67,27,1,12,2,0,10,2,2,0,3,7,0,0,59,3,52,3950,0,1,1
3,73454.0,95,982,73,351,56,14,175,1,2,4,6,5,0,0,37,1,1651,3917,1,0,0
2,42691.0,48,179,2,64,38,17,58,1,5,1,6,5,0,0,33,2,358,4114,0,0,1
2,70503.0,73,1379,33,216,0,33,66,1,2,4,9,6,0,0,71,2,1727,4434,2,0,0
2,25545.0,35,32,1,64,16,12,85,3,2,2,3,6,0,1,37,3,210,4456,1,1,1
2,32880.0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,38,3,42,4369,0,1,1
4,77863.0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,66,2,1291,4011,0,0,0
3,50353.0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,47,2,442,3818,0,0,0
2,61839.0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,60,1,1895,4483,0,0,0
4,49154.0,69,206,10,67,30,27,71,6,4,1,8,6,0,0,64,4,411,4035,0,1,2
1,47682.0,80,162,61,83,97,57,61,4,4,3,8,5,0,0,49,2,521,4296,0,1,2
2,72679.0,65,619,54,260,127,54,54,1,4,7,5,1,0,0,55,2,1168,4081,0,1,0
3,57954.0,52,456,4,24,0,0,9,7,8,2,6,7,0,0,47,4,493,3808,1,1,2
2,65316.0,65,112,6,92,3,9,38,2,3,2,5,4,0,0,62,4,260,4228,0,1,2
2,28567.0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,42,2,46,4174,0,1,1
3,47352.0,70,172,12,112,8,0,15,4,6,1,5,7,0,0,73,3,319,4241,0,1,2
2,44931.0,0,78,0,11,0,0,7,1,2,1,3,5,0,0,57,3,96,3959,0,1,1
2,76982.0,19,464,151,292,65,60,30,1,8,3,4,4,0,1,57,1,1062,3931,2,0,0
1,57247.0,50,99,4,32,37,54,6,2,2,1,7,2,0,0,72,3,232,4122,0,1,1
3,22944.0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,43,2,76,3985,0,1,1
1,25315.0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,47,3,54,4031,0,1,1
2,43638.0,37,63,10,83,7,19,19,2,4,1,4,7,0,0,55,2,201,4489,0,1,1
4,42710.0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,40,2,406,4375,0,1,2
4,84169.0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,42,2,1919,4123,3,0,0
2,54058.0,56,198,18,252,32,108,54,2,4,6,8,3,0,0,48,3,662,4187,0,1,2
1,24683.0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,34,3,41,3910,0,1,1
2,85620.0,68,416,46,925,60,107,46,1,3,6,4,1,0,1,60,1,1600,3970,1,0,0
